order_id,customer_id,product_id,order_date,quantity,price,cost,category,brand,sales_value,cost_value,profit,name,age,gender,location,signup_date,customer_tenure_days
52,317,329,2023-02-06,1,320,147,Home,Brand_16,320,147,173,Customer_317,48,Female,Eindhoven,2022-10-24,800
53,802,71,2021-08-01,2,151,123,Luxury,Brand_6,302,246,56,Customer_802,60,Female,Eindhoven,2022-12-08,755
54,283,55,2021-10-17,3,291,197,Clothing,Brand_2,873,591,282,Customer_283,19,Female,Rotterdam,2020-02-18,1779
55,200,436,2023-02-06,3,185,63,Books,Brand_12,555,189,366,Customer_200,58,Male,Amsterdam,2022-05-05,972
56,516,380,2023-07-27,1,126,118,Luxury,Brand_2,126,118,8,Customer_516,19,Female,Groningen,2023-05-26,586
57,232,326,2023-03-04,3,80,28,Luxury,Brand_10,240,84,156,Customer_232,37,Male,Utrecht,2021-12-18,1110
58,471,443,2023-05-07,2,75,37,Electronics,Brand_12,150,74,76,Customer_471,28,Female,Utrecht,2020-11-15,1508
59,58,281,2023-04-29,4,144,61,Luxury,Brand_17,576,244,332,Customer_58,37,Male,Rotterdam,2023-07-31,520
60,646,397,2022-09-03,1,216,107,Electronics,Brand_1,216,107,109,Customer_646,23,Male,Utrecht,2021-10-04,1185
61,614,166,2023-07-30,4,184,114,Electronics,Brand_1,736,456,280,Customer_614,59,Female,Utrecht,2022-07-28,888
62,249,69,2023-08-22,3,180,118,Luxury,Brand_1,540,354,186,Customer_249,52,Male,Utrecht,2021-09-21,1198
63,283,135,2023-09-24,4,186,59,Luxury,Brand_6,744,236,508,Customer_283,19,Female,Rotterdam,2020-02-18,1779
64,847,265,2021-02-15,1,313,157,Luxury,Brand_5,313,157,156,Customer_847,53,Female,Lagos,2022-07-22,894
65,832,109,2022-11-16,3,255,151,Clothing,Brand_4,765,453,312,Customer_832,37,Male,Accra,2020-12-08,1485
66,694,478,2022-10-31,3,131,108,Sports,Brand_1,393,324,69,Customer_694,45,Female,Eindhoven,2021-08-04,1246
67,732,266,2023-02-28,1,237,174,Sports,Brand_6,237,174,63,Customer_732,64,Male,Eindhoven,2024-01-23,344
68,881,89,2021-06-09,3,295,148,Sports,Brand_18,885,444,441,Customer_881,18,Male,Utrecht,2021-12-06,1122
69,517,196,2023-07-02,4,165,22,Electronics,Brand_5,660,88,572,Customer_517,37,Female,Lagos,2022-05-29,948
70,436,358,2021-04-17,2,90,78,Home,Brand_18,180,156,24,Customer_436,30,Female,Accra,2023-07-23,528
71,134,403,2023-02-25,4,213,102,Electronics,Brand_17,852,408,444,Customer_134,28,Male,Amsterdam,2021-01-03,1459
72,760,454,2023-06-08,4,251,156,Home,Brand_18,1004,624,380,Customer_760,39,Female,Groningen,2024-02-05,331
73,609,379,2021-06-03,3,193,54,Sports,Brand_14,579,162,417,Customer_609,60,Female,Rotterdam,2021-09-07,1212
74,599,306,2022-07-18,3,59,27,Sports,Brand_5,177,81,96,Customer_599,18,Male,Groningen,2021-02-17,1414
75,868,467,2023-01-15,4,245,131,Books,Brand_16,980,524,456,Customer_868,57,Female,Eindhoven,2020-09-16,1568
76,324,15,2021-11-15,4,233,141,Sports,Brand_13,932,564,368,Customer_324,56,Female,Amsterdam,2020-10-31,1523
77,342,177,2021-02-03,1,179,157,Clothing,Brand_1,179,157,22,Customer_342,53,Female,Eindhoven,2022-02-10,1056
78,395,43,2022-04-26,1,262,68,Home,Brand_13,262,68,194,Customer_395,51,Female,Lagos,2022-11-07,786
79,580,314,2022-06-16,2,316,165,Electronics,Brand_17,632,330,302,Customer_580,44,Male,Tokyo,2023-06-20,561
80,702,466,2023-05-17,4,54,26,Sports,Brand_15,216,104,112,Customer_702,55,Female,Amsterdam,2021-05-27,1315
81,120,73,2021-02-22,4,114,18,Home,Brand_17,456,72,384,Customer_120,41,Male,Utrecht,2021-12-28,1100
82,760,346,2022-12-18,1,248,94,Books,Brand_12,248,94,154,Customer_760,39,Female,Groningen,2024-02-05,331
83,417,288,2022-12-11,1,219,52,Sports,Brand_19,219,52,167,Customer_417,26,Female,Accra,2021-02-27,1404
84,149,387,2022-05-28,1,171,81,Electronics,Brand_13,171,81,90,Customer_149,45,Female,Amsterdam,2023-05-24,588
85,781,177,2021-03-09,2,179,157,Clothing,Brand_1,358,314,44,Customer_781,64,Female,Accra,2021-12-20,1108
86,887,96,2021-08-27,4,173,162,Electronics,Brand_14,692,648,44,Customer_887,50,Female,Amsterdam,2020-04-29,1708
87,730,369,2022-11-06,2,169,126,Electronics,Brand_18,338,252,86,Customer_730,33,Female,Groningen,2020-10-05,1549
88,67,341,2022-07-24,1,111,42,Clothing,Brand_2,111,42,69,Customer_67,56,Female,Utrecht,2021-04-21,1351
89,971,168,2022-05-24,3,216,39,Clothing,Brand_13,648,117,531,Customer_971,21,Male,Amsterdam,2023-02-27,674
90,665,380,2021-09-18,2,126,118,Luxury,Brand_2,252,236,16,Customer_665,59,Female,Utrecht,2022-01-01,1096
91,294,376,2022-05-27,2,348,187,Sports,Brand_6,696,374,322,Customer_294,52,Female,Rotterdam,2021-05-30,1312
92,840,200,2023-08-22,3,196,29,Electronics,Brand_2,588,87,501,Customer_840,21,Female,Rotterdam,2020-12-31,1462
93,372,385,2021-06-30,4,270,86,Sports,Brand_6,1080,344,736,Customer_372,46,Female,Rotterdam,2023-10-09,450
94,962,462,2022-12-27,1,248,71,Home,Brand_16,248,71,177,Customer_962,33,Female,Accra,2023-04-12,630
95,146,383,2022-10-11,2,303,169,Sports,Brand_3,606,338,268,Customer_146,54,Male,Groningen,2022-01-09,1088
96,846,355,2022-07-24,3,300,135,Sports,Brand_1,900,405,495,Customer_846,20,Female,Amsterdam,2021-12-03,1125
97,28,422,2022-11-27,1,150,116,Sports,Brand_8,150,116,34,Customer_28,49,Male,Rotterdam,2020-03-17,1751
98,292,149,2021-03-18,1,187,7,Home,Brand_9,187,7,180,Customer_292,27,Female,Eindhoven,2022-06-06,940
99,856,428,2023-07-17,1,188,47,Books,Brand_11,188,47,141,Customer_856,55,Male,Lagos,2023-02-08,693
100,422,450,2023-09-24,3,156,29,Clothing,Brand_8,468,87,381,Customer_422,56,Female,Accra,2020-12-12,1481
101,120,462,2022-11-11,1,248,71,Home,Brand_16,248,71,177,Customer_120,41,Male,Utrecht,2021-12-28,1100
102,237,88,2021-06-19,3,158,124,Sports,Brand_12,474,372,102,Customer_237,23,Male,Tokyo,2023-12-14,384
103,877,119,2021-04-12,2,121,52,Luxury,Brand_8,242,104,138,Customer_877,46,Female,Tokyo,2022-07-13,903
104,49,241,2023-09-24,3,227,119,Books,Brand_8,681,357,324,Customer_49,35,Female,Rotterdam,2023-08-07,513
105,645,230,2022-01-04,4,316,174,Home,Brand_18,1264,696,568,Customer_645,24,Male,Eindhoven,2023-03-07,666
106,792,383,2021-02-09,4,303,169,Sports,Brand_3,1212,676,536,Customer_792,44,Female,Tokyo,2023-01-26,706
107,91,324,2023-02-24,3,381,182,Clothing,Brand_20,1143,546,597,Customer_91,42,Female,Utrecht,2022-08-09,876
108,503,261,2022-09-08,4,166,97,Clothing,Brand_6,664,388,276,Customer_503,41,Female,Accra,2023-10-16,443
109,86,390,2021-08-03,2,138,70,Home,Brand_2,276,140,136,Customer_86,40,Male,Eindhoven,2022-07-09,907
110,539,149,2021-01-10,4,187,7,Home,Brand_9,748,28,720,Customer_539,33,Female,Amsterdam,2020-03-08,1760
111,196,148,2022-04-08,3,268,128,Home,Brand_15,804,384,420,Customer_196,34,Female,Amsterdam,2024-01-01,366
112,649,201,2022-03-25,4,240,190,Electronics,Brand_12,960,760,200,Customer_649,45,Female,Rotterdam,2020-12-09,1484
113,756,346,2021-04-26,1,248,94,Books,Brand_12,248,94,154,Customer_756,21,Female,Accra,2021-12-24,1104
114,45,357,2021-07-12,2,72,45,Luxury,Brand_5,144,90,54,Customer_45,43,Female,Rotterdam,2023-05-02,610
115,525,459,2021-04-18,1,224,40,Sports,Brand_1,224,40,184,Customer_525,39,Female,Eindhoven,2020-03-20,1748
116,201,375,2022-02-04,2,273,137,Electronics,Brand_2,546,274,272,Customer_201,29,Female,Tokyo,2021-03-06,1397
117,517,14,2021-09-16,4,167,5,Luxury,Brand_5,668,20,648,Customer_517,37,Female,Lagos,2022-05-29,948
118,214,140,2022-06-21,3,78,24,Electronics,Brand_5,234,72,162,Customer_214,34,Male,Utrecht,2021-10-15,1174
119,466,359,2021-11-03,4,273,114,Electronics,Brand_4,1092,456,636,Customer_466,26,Female,Accra,2023-12-05,393
120,367,195,2023-06-18,2,294,116,Home,Brand_9,588,232,356,Customer_367,61,Female,Utrecht,2023-03-11,662
121,105,375,2023-01-09,2,273,137,Electronics,Brand_2,546,274,272,Customer_105,59,Female,Amsterdam,2023-03-13,660
122,164,455,2022-06-11,2,112,54,Clothing,Brand_13,224,108,116,Customer_164,26,Female,Utrecht,2020-09-27,1557
123,139,165,2022-07-19,4,264,91,Books,Brand_3,1056,364,692,Customer_139,47,Male,Lagos,2023-06-09,572
124,425,94,2023-03-20,1,281,120,Books,Brand_15,281,120,161,Customer_425,59,Female,Utrecht,2020-11-25,1498
125,894,11,2022-08-13,1,218,132,Clothing,Brand_13,218,132,86,Customer_894,59,Female,Lagos,2020-02-18,1779
126,459,259,2023-04-21,4,53,7,Electronics,Brand_6,212,28,184,Customer_459,57,Female,Eindhoven,2023-08-05,515
127,478,405,2023-02-06,2,127,82,Home,Brand_15,254,164,90,Customer_478,33,Male,Eindhoven,2020-12-05,1488
128,937,404,2023-07-30,3,226,108,Books,Brand_20,678,324,354,Customer_937,26,Male,Rotterdam,2021-05-01,1341
129,338,259,2021-11-04,2,53,7,Electronics,Brand_6,106,14,92,Customer_338,30,Female,Groningen,2023-09-28,461
130,456,172,2022-07-31,4,138,67,Luxury,Brand_13,552,268,284,Customer_456,60,Male,Amsterdam,2021-04-14,1358
131,651,200,2022-04-22,3,196,29,Electronics,Brand_2,588,87,501,Customer_651,33,Female,Eindhoven,2022-11-08,785
132,783,33,2022-03-03,4,141,72,Books,Brand_8,564,288,276,Customer_783,40,Male,Accra,2023-05-22,590
133,966,47,2021-07-11,3,163,74,Sports,Brand_11,489,222,267,Customer_966,26,Female,Groningen,2021-12-27,1101
134,328,363,2023-01-26,4,224,45,Luxury,Brand_2,896,180,716,Customer_328,62,Female,Tokyo,2022-07-02,914
135,424,36,2021-02-01,1,74,16,Books,Brand_17,74,16,58,Customer_424,52,Female,Rotterdam,2020-10-18,1536
136,652,51,2023-04-30,3,117,25,Sports,Brand_15,351,75,276,Customer_652,54,Male,Eindhoven,2022-05-05,972
137,920,33,2021-04-10,4,141,72,Books,Brand_8,564,288,276,Customer_920,23,Female,Rotterdam,2023-11-29,399
138,229,382,2022-07-10,1,92,36,Clothing,Brand_18,92,36,56,Customer_229,37,Female,Accra,2021-01-12,1450
139,901,386,2023-02-12,1,147,116,Books,Brand_16,147,116,31,Customer_901,53,Male,Utrecht,2021-09-27,1192
140,717,295,2022-03-23,3,165,90,Electronics,Brand_13,495,270,225,Customer_717,44,Male,Accra,2020-05-22,1685
141,949,266,2022-05-01,4,237,174,Sports,Brand_6,948,696,252,Customer_949,47,Male,Rotterdam,2024-02-07,329
142,331,148,2023-08-24,2,268,128,Home,Brand_15,536,256,280,Customer_331,52,Female,Amsterdam,2020-09-08,1576
143,461,435,2021-05-26,4,308,175,Luxury,Brand_5,1232,700,532,Customer_461,22,Female,Rotterdam,2022-01-08,1089
144,642,46,2023-07-17,1,286,189,Clothing,Brand_14,286,189,97,Customer_642,60,Female,Groningen,2021-07-31,1250
145,937,176,2021-03-01,4,370,179,Electronics,Brand_3,1480,716,764,Customer_937,26,Male,Rotterdam,2021-05-01,1341
146,830,46,2022-03-31,2,286,189,Clothing,Brand_14,572,378,194,Customer_830,18,Male,Accra,2020-05-16,1691
147,691,212,2022-06-15,4,342,174,Electronics,Brand_10,1368,696,672,Customer_691,61,Female,Accra,2020-09-29,1555
148,317,421,2021-05-12,2,120,59,Home,Brand_2,240,118,122,Customer_317,48,Female,Eindhoven,2022-10-24,800
149,277,97,2021-09-19,4,200,132,Books,Brand_11,800,528,272,Customer_277,34,Female,Groningen,2020-05-28,1679
150,465,242,2021-08-11,2,273,131,Sports,Brand_8,546,262,284,Customer_465,20,Female,Eindhoven,2023-02-01,700
151,344,390,2021-06-17,3,138,70,Home,Brand_2,414,210,204,Customer_344,36,Female,Tokyo,2021-10-26,1163
152,39,107,2023-06-27,1,292,176,Books,Brand_7,292,176,116,Customer_39,49,Female,Lagos,2021-12-25,1103
153,982,38,2021-12-12,1,203,169,Sports,Brand_5,203,169,34,Customer_982,23,Male,Utrecht,2024-02-09,327
154,867,276,2022-03-16,2,256,95,Home,Brand_9,512,190,322,Customer_867,43,Female,Accra,2021-07-31,1250
155,752,15,2022-12-01,2,233,141,Sports,Brand_13,466,282,184,Customer_752,58,Female,Utrecht,2021-05-04,1338
156,510,30,2022-12-16,3,307,153,Home,Brand_7,921,459,462,Customer_510,35,Male,Amsterdam,2022-06-12,934
157,862,152,2021-07-03,4,195,73,Luxury,Brand_4,780,292,488,Customer_862,24,Male,Groningen,2022-08-10,875
158,388,480,2023-06-15,3,260,115,Books,Brand_10,780,345,435,Customer_388,42,Female,Utrecht,2023-12-31,367
159,904,332,2021-04-06,4,223,92,Home,Brand_13,892,368,524,Customer_904,31,Male,Groningen,2021-10-13,1176
160,622,90,2023-04-07,3,380,195,Clothing,Brand_7,1140,585,555,Customer_622,35,Male,Utrecht,2021-02-15,1416
161,176,418,2023-08-03,1,303,130,Books,Brand_4,303,130,173,Customer_176,31,Female,Rotterdam,2023-08-17,503
162,551,220,2023-04-28,2,235,125,Books,Brand_17,470,250,220,Customer_551,36,Male,Eindhoven,2023-12-07,391
163,404,100,2022-08-22,3,207,44,Home,Brand_8,621,132,489,Customer_404,21,Female,Accra,2020-01-26,1802
164,644,241,2021-05-02,3,227,119,Books,Brand_8,681,357,324,Customer_644,19,Male,Utrecht,2021-03-29,1374
165,661,313,2022-01-24,2,193,22,Books,Brand_19,386,44,342,Customer_661,43,Female,Accra,2023-10-01,458
166,575,78,2022-05-27,3,125,52,Sports,Brand_5,375,156,219,Customer_575,58,Female,Lagos,2022-01-12,1085
167,435,284,2021-03-28,2,205,29,Home,Brand_13,410,58,352,Customer_435,29,Female,Groningen,2024-02-01,335
168,869,257,2022-07-19,4,289,176,Sports,Brand_1,1156,704,452,Customer_869,56,Male,Tokyo,2023-11-24,404
169,985,165,2023-09-10,3,264,91,Books,Brand_3,792,273,519,Customer_985,46,Female,Utrecht,2020-07-23,1623
170,349,29,2022-06-20,4,276,170,Sports,Brand_4,1104,680,424,Customer_349,37,Female,Utrecht,2021-07-05,1276
171,154,337,2021-02-02,4,160,146,Clothing,Brand_13,640,584,56,Customer_154,60,Female,Lagos,2023-06-20,561
172,640,164,2022-07-12,2,243,176,Books,Brand_3,486,352,134,Customer_640,57,Male,Utrecht,2021-01-27,1435
173,189,278,2022-06-09,1,313,177,Home,Brand_10,313,177,136,Customer_189,42,Female,Lagos,2023-05-18,594
174,229,193,2021-12-10,2,149,120,Sports,Brand_5,298,240,58,Customer_229,37,Female,Accra,2021-01-12,1450
175,912,367,2023-05-18,4,174,169,Books,Brand_19,696,676,20,Customer_912,24,Male,Groningen,2021-03-11,1392
176,292,212,2021-06-09,1,342,174,Electronics,Brand_10,342,174,168,Customer_292,27,Female,Eindhoven,2022-06-06,940
177,882,33,2023-02-17,2,141,72,Books,Brand_8,282,144,138,Customer_882,43,Female,Groningen,2021-10-28,1161
178,585,235,2022-01-10,2,275,136,Electronics,Brand_11,550,272,278,Customer_585,56,Female,Accra,2022-11-13,780
179,593,163,2021-05-12,2,72,20,Sports,Brand_7,144,40,104,Customer_593,51,Male,Eindhoven,2021-11-17,1141
180,43,84,2022-10-25,3,330,163,Clothing,Brand_1,990,489,501,Customer_43,22,Male,Tokyo,2023-01-14,718
181,899,323,2023-05-09,2,214,42,Luxury,Brand_14,428,84,344,Customer_899,33,Male,Eindhoven,2023-08-06,514
182,302,45,2021-07-20,2,230,78,Clothing,Brand_20,460,156,304,Customer_302,48,Female,Amsterdam,2022-03-27,1011
183,179,248,2023-03-14,2,142,85,Home,Brand_2,284,170,114,Customer_179,22,Female,Utrecht,2020-07-14,1632
184,825,455,2021-10-18,1,112,54,Clothing,Brand_13,112,54,58,Customer_825,32,Female,Groningen,2022-12-29,734
185,704,340,2021-01-17,3,139,53,Books,Brand_6,417,159,258,Customer_704,58,Female,Rotterdam,2022-09-10,844
186,794,452,2023-08-18,4,184,30,Sports,Brand_1,736,120,616,Customer_794,52,Male,Groningen,2020-12-06,1487
187,944,355,2023-04-04,1,300,135,Sports,Brand_1,300,135,165,Customer_944,39,Male,Groningen,2021-08-29,1221
188,295,448,2023-06-11,2,288,128,Sports,Brand_1,576,256,320,Customer_295,28,Female,Utrecht,2022-08-13,872
189,17,33,2023-03-30,2,141,72,Books,Brand_8,282,144,138,Customer_17,37,Female,Amsterdam,2023-04-09,633
190,106,269,2021-04-21,1,231,97,Home,Brand_1,231,97,134,Customer_106,36,Female,Rotterdam,2023-03-25,648
191,785,33,2023-06-02,1,141,72,Books,Brand_8,141,72,69,Customer_785,46,Female,Lagos,2021-09-15,1204
192,234,165,2021-02-19,4,264,91,Books,Brand_3,1056,364,692,Customer_234,18,Male,Tokyo,2021-12-16,1112
193,490,417,2022-02-26,2,236,122,Luxury,Brand_16,472,244,228,Customer_490,55,Female,Tokyo,2022-08-22,863
194,811,306,2021-09-20,3,59,27,Sports,Brand_5,177,81,96,Customer_811,31,Male,Utrecht,2020-08-26,1589
195,250,313,2022-08-12,4,193,22,Books,Brand_19,772,88,684,Customer_250,36,Female,Amsterdam,2021-11-20,1138
196,788,237,2022-11-10,3,129,21,Sports,Brand_5,387,63,324,Customer_788,32,Male,Amsterdam,2020-04-18,1719
197,92,460,2022-05-19,1,108,99,Sports,Brand_10,108,99,9,Customer_92,30,Female,Lagos,2021-02-16,1415
198,616,49,2021-02-12,1,200,101,Clothing,Brand_18,200,101,99,Customer_616,33,Male,Amsterdam,2022-09-05,849
199,180,438,2023-07-22,1,122,65,Electronics,Brand_5,122,65,57,Customer_180,22,Female,Eindhoven,2023-05-17,595
200,921,457,2021-07-10,3,179,94,Sports,Brand_11,537,282,255,Customer_921,21,Male,Tokyo,2023-05-07,605
201,86,393,2021-02-17,2,80,27,Home,Brand_4,160,54,106,Customer_86,40,Male,Eindhoven,2022-07-09,907
202,971,85,2022-08-17,2,234,97,Books,Brand_9,468,194,274,Customer_971,21,Male,Amsterdam,2023-02-27,674
203,886,254,2022-05-21,3,174,145,Clothing,Brand_7,522,435,87,Customer_886,19,Female,Tokyo,2023-05-13,599
204,591,52,2022-11-10,1,101,5,Books,Brand_7,101,5,96,Customer_591,29,Female,Eindhoven,2021-08-30,1220
205,826,377,2022-06-12,1,220,25,Clothing,Brand_7,220,25,195,Customer_826,59,Female,Rotterdam,2023-04-15,627
206,232,454,2023-02-09,4,251,156,Home,Brand_18,1004,624,380,Customer_232,37,Male,Utrecht,2021-12-18,1110
207,592,56,2022-02-10,4,205,66,Home,Brand_18,820,264,556,Customer_592,28,Female,Amsterdam,2020-05-15,1692
208,301,103,2023-01-12,3,216,59,Sports,Brand_13,648,177,471,Customer_301,22,Female,Eindhoven,2020-12-26,1467
209,741,189,2023-01-05,4,151,110,Home,Brand_6,604,440,164,Customer_741,27,Female,Amsterdam,2022-04-02,1005
210,391,436,2021-06-07,4,185,63,Books,Brand_12,740,252,488,Customer_391,25,Female,Eindhoven,2023-01-10,722
211,300,132,2021-05-12,4,193,94,Electronics,Brand_18,772,376,396,Customer_300,24,Male,Rotterdam,2020-09-04,1580
212,550,473,2022-05-17,3,166,127,Books,Brand_4,498,381,117,Customer_550,36,Female,Utrecht,2021-01-20,1442
213,957,440,2021-04-01,1,155,81,Books,Brand_6,155,81,74,Customer_957,55,Female,Tokyo,2023-03-27,646
214,820,238,2021-05-21,1,222,90,Sports,Brand_1,222,90,132,Customer_820,60,Male,Utrecht,2021-10-29,1160
215,382,205,2023-08-18,1,329,172,Electronics,Brand_17,329,172,157,Customer_382,57,Female,Utrecht,2023-08-29,491
216,692,355,2022-01-08,1,300,135,Sports,Brand_1,300,135,165,Customer_692,35,Female,Groningen,2023-02-16,685
217,918,134,2022-06-22,1,363,189,Luxury,Brand_9,363,189,174,Customer_918,30,Male,Eindhoven,2021-04-02,1370
218,542,169,2022-07-08,4,101,32,Electronics,Brand_14,404,128,276,Customer_542,32,Male,Utrecht,2020-07-09,1637
219,379,105,2021-04-11,3,94,28,Sports,Brand_20,282,84,198,Customer_379,51,Male,Lagos,2023-01-26,706
220,213,159,2022-01-25,3,145,110,Home,Brand_1,435,330,105,Customer_213,48,Female,Amsterdam,2023-02-14,687
221,214,410,2023-05-18,2,49,20,Sports,Brand_2,98,40,58,Customer_214,34,Male,Utrecht,2021-10-15,1174
222,52,217,2023-05-13,2,219,149,Electronics,Brand_19,438,298,140,Customer_52,40,Female,Utrecht,2021-06-26,1285
223,652,249,2022-01-15,3,189,158,Sports,Brand_16,567,474,93,Customer_652,54,Male,Eindhoven,2022-05-05,972
224,838,276,2022-04-06,4,256,95,Home,Brand_9,1024,380,644,Customer_838,50,Female,Accra,2022-06-22,924
